wallet,mint,sample_group,first_buy_time,realized_pnl_sol,realized_roi,pre_1m_return,pre_3m_return,pre_5m_return,pre_10m_return,pre_20m_return,pre_5m_volume_spike,pre_20m_volume_spike,entry_range_position,break_previous_high,distance_to_20m_high,distance_to_20m_low,consecutive_green_candles,consecutive_red_candles,volatility_20m,entry_label
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump,profit,2026-04-29T01:38:51+00:00,0.678311137,1.357027000,0.516360348,1.088793613,1.222319521,1.466891954,2.040606967,17.621515976,10.178320585,0.817713052,true,-0.154781404,4.601500553,5,0,5.627280306,breakout_volume_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump,profit,2026-04-29T01:43:13+00:00,0.063118425,0.126237000,0.478947614,0.478947614,0.478947614,0.478947614,0.478947614,0.418630554,0.418630554,0.449730411,false,-0.394918981,1.143266049,2,0,2.542114167,unclear_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump,profit,2026-04-29T01:44:28+00:00,0.004953845,0.009023000,0.071527059,0.071527059,0.071527059,0.071527059,0.071527059,1.584418243,1.584418243,0.766908453,false,-0.114636734,0.742189176,2,0,0.967767629,high_range_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump,profit,2026-04-29T01:47:17+00:00,0.176023116,0.329229000,,,,,,,,0.877198732,false,-0.085550695,2.014598875,1,0,2.296627664,high_range_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump,profit,2026-04-29T01:48:02+00:00,0.019889508,0.037195000,-0.530948845,-0.530948845,-0.530948845,-0.530948845,-0.530948845,3.570940107,3.570940107,0.049319584,true,-0.712851008,0.147826609,0,1,2.997320694,breakout_volume_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump,profit,2026-04-29T01:51:00+00:00,0.070260853,0.140522000,0.229044359,0.043276466,0.043276466,0.043276466,0.043276466,0.606950755,0.606950755,0.470528613,false,-0.173352087,0.229044359,1,0,0.486780936,unclear_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump,profit,2026-04-29T01:52:44+00:00,0.042969803,0.041556000,,,,,,,,1.000000000,false,0.000000000,0.141738131,1,0,0.141738131,high_range_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump,profit,2026-04-29T02:21:44+00:00,0.012200982,0.024408000,0.949897222,0.949897222,0.949897222,0.949897222,0.949897222,24.358863808,24.358863808,0.591562624,true,-0.300794102,1.653039153,2,0,2.794360372,breakout_volume_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump,profit,2026-04-29T02:25:55+00:00,0.010664886,0.020094000,0.119929261,-0.015635232,0.121719006,0.121719006,0.121719006,0.492011400,0.492011400,0.310313970,false,-0.227342187,0.152586560,1,0,0.491716696,unclear_entry
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump,profit,2026-04-29T02:39:01+00:00,0.019945963,0.043211000,-0.157549883,-0.157549883,-0.157549883,-0.157549883,-0.157549883,3.199058436,3.199058436,0.715116838,true,-0.227409435,2.829541848,0,1,3.956754615,breakout_volume_entry
