wallet,mint,sample_group,last_sell_time,realized_pnl_sol,realized_roi,pre_exit_1m_return,pre_exit_3m_return,pre_exit_5m_return,exit_range_position,exit_efficiency,drawdown_from_peak_before_exit,sell_after_breakdown,post_exit_5m_return,post_exit_20m_return,missed_profit_after_exit,loss_avoided_after_exit,exit_label
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump,profit,2026-04-29T01:44:49+00:00,0.678311137,1.357027000,0.136551042,0.194925652,1.021940483,0.930314769,0.935327741,-0.064672259,false,-0.109288870,0.383612239,1.086467868,0.361852896,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump,profit,2026-04-29T01:43:27+00:00,0.063118425,0.126237000,0.478947614,0.478947614,0.478947614,0.449730411,0.814501594,-0.185498406,false,-0.531210421,-0.532601364,0.302717901,0.532644363,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump,profit,2026-04-29T01:45:01+00:00,0.004953845,0.009023000,-0.416809258,-0.375095340,-0.375095340,0.016562445,0.572902790,-0.427097210,false,-0.006471505,-0.006471505,0.714704860,0.006471505,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump,profit,2026-04-29T01:48:34+00:00,0.176023116,0.329229000,0.733726860,0.733726860,0.733726860,0.992330832,0.993789083,-0.006210917,false,-0.213724122,-0.415278584,0.618838842,0.581561083,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump,profit,2026-04-29T01:48:23+00:00,0.019889508,0.037195000,-0.530948845,-0.530948845,-0.530948845,0.049319584,0.287148992,-0.712851008,false,-0.125390019,-0.125390019,2.482512656,0.125390019,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump,profit,2026-04-29T01:51:47+00:00,0.070260853,0.140522000,0.229044359,0.043276466,0.043276466,0.470528613,0.982653387,-0.017346613,false,-0.161192122,-0.161192122,0.017652830,0.186359717,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump,profit,2026-04-29T01:56:25+00:00,0.042969803,0.041556000,0.006857021,0.160816210,0.148576864,0.974008434,0.993703743,-0.006296257,false,0.108591874,0.108591874,0.108591874,0.006810322,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump,profit,2026-04-29T02:22:41+00:00,0.012200982,0.024408000,0.266575525,1.469692098,1.469692098,0.809490105,0.858142260,-0.141857740,false,-0.424610639,-0.666719980,0.165307953,0.666719980,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump,profit,2026-04-29T02:26:43+00:00,0.010664886,0.020094000,0.029877355,0.035482021,0.155233002,0.380346649,0.983181290,-0.016818710,false,-0.018363271,-0.018363271,0.017106418,0.029010595,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump,profit,2026-04-29T02:39:30+00:00,0.019945963,0.043211000,-0.157549883,-0.157549883,-0.157549883,0.715116838,0.772590565,-0.227409435,false,-0.563255279,-0.759928460,0.294346638,0.759928460,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3pbggCjSuDLSB4iQ4v1Uc6HjbMT1hGqBd8AMKNxUpump,profit,2026-04-29T02:46:23+00:00,0.969017774,1.673030000,-0.659218198,-0.659218198,-0.659218198,0.177551246,0.311588977,-0.688411023,false,-0.332653218,-0.527824679,2.177531681,0.527824679,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,BDDumgWwRv5zynmmjxKALavMAHgPh6UocJRQs6Hmpump,profit,2026-04-29T03:03:56+00:00,1.105070030,1.807767000,-0.196269793,1.062118781,1.062118781,0.586031254,0.623919888,-0.376080112,false,-0.361040753,0.264648169,0.602769872,0.724607585,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,H6SBg5q554YUFBwh3LqZJgfMxX4eofPdh9RXHFpBpump,profit,2026-04-29T03:04:34+00:00,0.305137303,0.504028000,0.365387464,0.365387464,0.365387464,0.894325032,0.911386368,-0.088613632,false,0.283585147,1.313263427,1.502247782,0.432135490,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3H3kqqdFWLiJ39FP2u1P7Nw3tsTyCMrB4AX5XRX74YWc,loss,2026-04-29T03:12:36+00:00,-0.196448795,-0.193030000,-0.000851431,-0.357547611,-0.357547611,0.260294036,0.427944207,-0.572055793,false,-0.378934331,-0.356827122,0.135737098,0.440629916,effective_risk_exit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,82yiAogGB4nr6JqmwPn1fqKGP59Q7DsEqvkn9zxopump,profit,2026-04-29T03:12:29+00:00,0.043865924,0.083943000,,,,0.289858857,0.538493932,-0.461506068,false,-0.016425688,-0.363318956,0.857031138,0.363318956,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2vDVTKZNE96oJfeXeHQ618BGKS9ud493KReqgKXcpump,loss,2026-04-29T03:14:36+00:00,-0.010666891,-0.020428000,0.221426139,-0.298447051,-0.178983751,0.281588806,0.921553699,-0.078446301,false,0.140708795,2.464054257,3.598484547,0.246823752,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,CPWrXBsW6WgcVXyko8JsVgDRpaSm1xub9s9HGAx8pump,loss,2026-04-29T03:15:07+00:00,-0.028279093,-0.051830000,0.083577398,0.083577398,0.083577398,0.799083034,0.920024273,-0.079975727,false,-0.215082825,-0.223328218,0.086927844,0.223328218,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,vm9z1CxCjgxxevWk1qfYow9SwBw1McM1UoDt3RJpump,loss,2026-04-29T03:16:38+00:00,-0.170530686,-0.330188000,-0.330094294,-0.330094294,-0.330094294,0.078247678,0.519674493,-0.480325507,false,-0.077971165,-0.077971165,0.924281477,0.077971165,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,DGaWTm2cyRNuwgGpfV1WhFQ4jhpfi6x1HcUNKc8Wpump,loss,2026-04-29T03:28:20+00:00,-0.006247649,-0.012500000,-0.057643203,0.190474858,0.071040326,0.723426890,0.942356797,-0.057643203,false,-0.025132730,-0.157092800,0.526392375,0.157092800,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,524zXrkbMkoDF8tZSy45PwTNb9pNgvwx5VSdk2R4pump,profit,2026-04-29T03:28:37+00:00,0.506645819,0.980579000,1.707302207,1.707302207,1.707302207,0.957786701,0.964258825,-0.035741175,false,0.018145061,0.610318256,0.784303036,0.654150447,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,eqqewyvQimbTq83juJwT6Gt6FzAqnoikGB9kw4hpump,loss,2026-04-29T03:30:54+00:00,-0.237017390,-0.155133000,0.016336306,0.850365520,0.850365520,0.833725652,0.883086946,-0.116913054,false,-0.624462707,-0.641663674,0.132391329,0.641663674,effective_risk_exit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,8TwGaAgqQ9ovYfNwBGBLJbnYqRKmBEQiLNHRBSeTpump,profit,2026-04-29T03:33:23+00:00,0.052515755,0.047146000,0.001443695,2.155488686,2.155488686,0.553843402,0.645047019,-0.354952981,false,-0.143299201,-0.679597147,0.116062374,0.679597147,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,14hDBCzrLQJa7kLfmaJoahVNxMG8asYHrUga9jrdpump,loss,2026-04-29T03:35:49+00:00,-0.056576104,-0.113237000,0.073664635,0.073664635,0.073664635,0.120213393,0.677600551,-0.322399449,false,-0.083988879,-0.083988879,0.475795729,0.083988879,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,GwJAwXGGU8oB4ZDqksCe6wQPdNyX2j5xZDXv9qq5pump,loss,2026-04-29T03:38:00+00:00,-0.002718544,-0.005437000,-0.226226356,-0.228341882,-0.228341882,0.286502368,0.693976826,-0.306023174,false,-0.215085664,-0.215085664,0.292367617,0.215085664,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,4tvpDeku9ErHjwa51yAobJH7sVmMuXUChYcnMG1Bpump,profit,2026-04-29T03:44:09+00:00,0.017610669,0.017618000,0.160117335,0.613847756,0.613847756,0.932999605,0.970794066,-0.029205934,false,-0.372402955,-0.410579381,0.284513687,0.410579381,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,Cw1Bi3VRZtUuHkKqFhgiT5mPduLX6YS6mEaz2hrBpump,loss,2026-04-29T03:48:30+00:00,-0.001255558,-0.002511000,-0.205723993,-0.205723993,-0.205723993,0.505887325,0.621249067,-0.378750933,false,0.488067338,-0.364219131,1.148515328,0.413756904,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,JEGXcUidPy51rP15JPzdqpLLYJz72qB736rAH59Mpump,loss,2026-04-29T03:50:26+00:00,-0.176495033,-0.340270000,-0.641203845,-0.641203845,-0.641203845,0.000000000,0.292969346,-0.707030654,true,-0.035108577,-0.035108577,2.413326386,0.035108577,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,81n9oxHutLoQkRvjdn83aaofk8NR7dFVLxcCoDD2pump,loss,2026-04-29T04:00:15+00:00,-0.036165130,-0.035721000,-0.254364194,-0.114138543,-0.164075705,0.009116986,0.647864981,-0.352135019,false,-0.031903872,-0.031903872,0.341137311,0.031903872,unclear_exit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,FkkPfxF9yiJKZ1u6VAFDgK7Tn9gxm6V1kMtU8BZipump,loss,2026-04-29T03:57:40+00:00,-0.068974855,-0.137976000,-0.344415291,-0.344415291,-0.344415291,0.302243396,0.589674261,-0.410325739,false,-0.344391585,-0.344391585,0.695851533,0.344391585,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,Gj2wMDacswzYG43CgpwCcWRihPhGsLQJf5F11hhvpump,profit,2026-04-29T03:59:11+00:00,0.123325817,0.246679000,0.558906534,7.559935290,7.559935290,0.948991751,0.954680648,-0.045319352,false,-0.428554119,-0.520745581,0.047470693,0.743619345,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,DxEjXMRWihmQLztaKDGRSgr1EjH4zkvvPxnoe2Z6pump,profit,2026-04-29T04:02:18+00:00,0.301767631,0.292417000,-0.087859600,0.805953929,0.805953929,0.722521929,0.847119410,-0.152880590,false,-0.480120707,-0.487185728,0.236813260,0.487185728,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,75X3YgCpLaEqMTz5TabNX4Mo51mZctaxa8aRbUedpump,loss,2026-04-29T04:17:29+00:00,-0.021591778,-0.219401000,,,,0.164916815,0.416158329,-0.583841671,false,-0.337864140,-0.337864140,1.402931603,0.337864140,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2uRdYXZcC6WrsL55aNN3Y22wrT6kHYb3QE3J75F4pump,profit,2026-04-29T04:24:09+00:00,0.218783959,0.111290000,-0.136331897,0.548438986,0.258309052,0.790958548,0.863668103,-0.136331897,false,-0.591928638,-0.591928638,0.157852185,0.591928638,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6pg9DtWC5zC6ueMFb5GGgeNvBHBgh1oEFidwgvLhpump,profit,2026-04-29T04:28:00+00:00,0.042968589,0.078462000,-0.100315909,-0.661683757,-0.498460030,0.057312463,0.337432624,-0.662567376,false,-0.117996325,-0.057534887,0.111501259,0.119701869,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,FML9ApgKaSCqbC3XUqTdLaTtdGm1BcJWatN7xmBbpump,profit,2026-04-29T04:34:57+00:00,0.023628618,0.044000000,-0.013929613,0.126499655,0.139143807,0.927929372,0.965121089,-0.034878911,false,-0.471958357,-0.471896198,0.036139415,0.472020517,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,BBZbQQFu8kkw1rhDVzjkyMXsEvc2JLBZiJeShoNapump,profit,2026-04-29T04:38:11+00:00,0.103273451,0.191636000,-0.192196090,-0.192196090,-0.192196090,0.015131977,0.429395189,-0.570604811,false,-0.020532678,-0.020532678,1.328857020,0.020532678,pullback_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,27sFia5GZfmt44iiDAym8Y2TL2duTewvYAjkLavhpump,profit,2026-04-29T04:40:53+00:00,0.209533617,0.209587000,0.425372743,0.839141181,1.561706257,0.870414092,0.915776455,-0.084223545,false,-0.503290042,-0.506601746,0.091969546,0.508086867,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6EYMLZo38gUSnujkokp6KPWQkWoftRKksL7dRc3yMTNG,loss,2026-04-29T05:01:55+00:00,-0.038272735,-0.076545000,-0.031641903,0.219515727,0.219515727,0.158660109,0.912138453,-0.087861547,false,-0.207952978,-0.207952978,0.096324792,0.207952978,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,H64ap4deX9piTa1kbt6ihjck3KjuHve3MivMrsadpump,loss,2026-04-29T05:04:05+00:00,-0.182482537,-0.361764000,-0.349577262,-0.349577262,-0.349577262,0.095908861,0.440690266,-0.559309734,false,-0.110128062,-0.110128062,0.560365629,0.117556548,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HbUWXrTVCLY8sTydzW6gLu9q2UUCpe77yjni4eZPpump,loss,2026-04-29T05:09:03+00:00,-0.011311457,-0.022655000,-0.128715556,-0.128715556,-0.128715556,0.610406955,0.866196452,-0.133803548,false,-0.031510690,-0.058763380,0.305302246,0.071369828,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2Ku7NnBci7sMSLRYV6xpESJFYmg9FTizpX2wTqXopump,profit,2026-04-29T05:09:45+00:00,0.006475550,0.012954000,1.315655777,0.320819929,0.320819929,0.900352848,0.928908511,-0.071091489,false,1.735048593,-0.024559139,3.204917234,0.568156887,efficient_take_profit
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,etxt2AosDxDR5kaKQn4GZoxwWgVXa9CBzUT5fAZpump,loss,2026-04-29T05:12:42+00:00,-0.073552630,-0.147105000,-0.052530601,-0.052530601,-0.052530601,0.684315296,0.921363799,-0.078636201,false,0.633234750,-0.012621827,2.537422201,0.422510205,fast_stop_loss
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,4SGxnG9Asrr2RdSXGcWvJAgzfxaQFnx2w6Zj5pegpump,loss,2026-04-29T05:18:05+00:00,-0.101917976,-0.203836000,-0.224514242,-0.224514242,-0.224514242,0.013261205,0.533387104,-0.466612896,true,-0.019991475,-0.019991475,0.289514333,0.019991475,fast_stop_loss
