wallet,mint,sample_group,first_buy_time,last_sell_time,holding_seconds,buy_count,sell_count,total_buy_sol,total_sell_sol,average_buy_price_sol,max_runup_during_holding,max_drawdown_during_holding,time_to_max_runup,time_to_max_drawdown,highest_price_before_exit,lowest_price_before_exit,holding_return_path,add_count,avg_add_interval_seconds,largest_add_size_sol,holding_label
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump,profit,2026-04-29T01:38:51+00:00,2026-04-29T01:44:49+00:00,358,1,1,0.499850850,1.178161987,0.000000152,1.481653368,-0.364327260,309,-51,0.000034210,0.000008763,1.321159238,0,,0.499850850,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump,profit,2026-04-29T01:43:13+00:00,2026-04-29T01:43:27+00:00,14,1,1,0.500000001,0.563118426,0.000000055,0.227744682,-0.324387127,-13,-13,0.000006199,0.000003411,0.000000000,0,,0.500000001,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump,profit,2026-04-29T01:44:28+00:00,2026-04-29T01:45:01+00:00,33,1,1,0.548998332,0.553952177,0.000000045,0.017957588,-0.426009521,-28,-28,0.000004192,0.000002364,-0.416809258,0,,0.548998332,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump,profit,2026-04-29T01:47:17+00:00,2026-04-29T01:48:34+00:00,77,1,1,0.534651896,0.710675012,0.000000074,0.744562191,-0.668280908,43,-17,0.000016416,0.000003121,0.733726860,0,,0.534651896,fast_runup_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump,profit,2026-04-29T01:48:02+00:00,2026-04-29T01:48:23+00:00,21,1,1,0.534735522,0.554625030,0.000000073,2.482512656,0.000000000,-2,-2,0.000009388,0.000002696,0.000000000,0,,0.534735522,fast_runup_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump,profit,2026-04-29T01:51:00+00:00,2026-04-29T01:51:47+00:00,47,1,1,0.500000001,0.570260854,0.000000030,0.017652830,-0.186359717,0,0,0.000002947,0.000002356,0.000000000,0,,0.500000001,very_short_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump,profit,2026-04-29T01:52:44+00:00,2026-04-29T01:56:25+00:00,221,2,2,1.034033656,1.077003459,0.000000179,0.155854420,-0.124142417,196,-44,0.000017157,0.000013001,0.148576864,1,221.000000000,0.517016828,normal_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump,profit,2026-04-29T02:21:44+00:00,2026-04-29T02:22:41+00:00,57,1,1,0.499885881,0.512086863,0.000000093,0.475950532,-0.487152457,16,-44,0.000009759,0.000003391,0.266575525,0,,0.499885881,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump,profit,2026-04-29T02:25:55+00:00,2026-04-29T02:26:43+00:00,48,1,1,0.530762182,0.541427068,0.000000032,0.047494867,-0.107086461,5,-55,0.000002858,0.000002436,0.029877355,0,,0.530762182,very_short_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump,profit,2026-04-29T02:39:01+00:00,2026-04-29T02:39:30+00:00,29,1,1,0.461589800,0.481535763,0.000000115,0.294346638,-0.428735540,-1,-1,0.000012802,0.000005650,0.000000000,0,,0.461589800,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3pbggCjSuDLSB4iQ4v1Uc6HjbMT1hGqBd8AMKNxUpump,profit,2026-04-29T02:45:12+00:00,2026-04-29T02:46:23+00:00,71,1,2,0.579199160,1.548216934,0.000000045,0.093690173,-0.821756981,-12,-12,0.000016156,0.000002633,-0.659218198,0,,0.579199160,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,BDDumgWwRv5zynmmjxKALavMAHgPh6UocJRQs6Hmpump,profit,2026-04-29T03:01:55+00:00,2026-04-29T03:03:56+00:00,121,1,2,0.611290144,1.716360174,0.000000093,2.305101855,-0.697499392,65,-55,0.000026110,0.000002390,1.062118781,0,,0.611290144,fast_runup_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,H6SBg5q554YUFBwh3LqZJgfMxX4eofPdh9RXHFpBpump,profit,2026-04-29T03:03:25+00:00,2026-04-29T03:04:34+00:00,69,1,1,0.605397790,0.910535093,0.000000081,0.498143390,-0.758123146,35,-25,0.000015739,0.000002541,0.365387464,0,,0.605397790,large_drawdown_tolerated
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3H3kqqdFWLiJ39FP2u1P7Nw3tsTyCMrB4AX5XRX74YWc,loss,2026-04-29T03:10:03+00:00,2026-04-29T03:12:36+00:00,153,2,2,1.017711556,0.821262761,0.000000086,0.993209882,-0.259514825,-3,57,0.000010448,0.000003882,-0.147017377,1,153.000000000,0.508855778,adds_with_profit_potential
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,82yiAogGB4nr6JqmwPn1fqKGP59Q7DsEqvkn9zxopump,profit,2026-04-29T03:12:10+00:00,2026-04-29T03:12:29+00:00,19,1,1,0.522567385,0.566433309,0.000000041,0.857031138,-0.349815059,-10,-10,0.000006949,0.000002433,0.000000000,0,,0.522567385,fast_runup_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2vDVTKZNE96oJfeXeHQ618BGKS9ud493KReqgKXcpump,loss,2026-04-29T03:14:13+00:00,2026-04-29T03:14:36+00:00,23,1,1,0.522170351,0.511503460,0.000000038,0.085123961,-0.181284920,-13,-13,0.000003457,0.000002608,0.000000000,0,,0.522170351,very_short_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,CPWrXBsW6WgcVXyko8JsVgDRpaSm1xub9s9HGAx8pump,loss,2026-04-29T03:14:57+00:00,2026-04-29T03:15:07+00:00,10,1,1,0.545610779,0.517331686,0.000000038,0.177770446,-0.291045351,3,-57,0.000003918,0.000002358,0.083577398,0,,0.545610779,very_short_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,vm9z1CxCjgxxevWk1qfYow9SwBw1McM1UoDt3RJpump,loss,2026-04-29T03:16:31+00:00,2026-04-29T03:16:38+00:00,7,1,1,0.516465966,0.345935280,0.000000047,0.924281477,0.000000000,-31,-31,0.000004947,0.000002571,0.000000000,0,,0.516465966,fast_runup_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,DGaWTm2cyRNuwgGpfV1WhFQ4jhpfi6x1HcUNKc8Wpump,loss,2026-04-29T03:27:40+00:00,2026-04-29T03:28:20+00:00,40,1,1,0.499811774,0.493564125,0.000000034,0.000000000,-0.113573900,20,-40,0.000002994,0.000002654,-0.057643203,0,,0.499811774,very_short_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,524zXrkbMkoDF8tZSy45PwTNb9pNgvwx5VSdk2R4pump,profit,2026-04-29T03:27:59+00:00,2026-04-29T03:28:37+00:00,38,1,1,0.516680321,1.023326140,0.000000068,1.807650952,-0.569532220,1,-59,0.000016434,0.000002520,1.707302207,0,,0.516680321,fast_runup_holding
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,eqqewyvQimbTq83juJwT6Gt6FzAqnoikGB9kw4hpump,loss,2026-04-29T03:28:35+00:00,2026-04-29T03:30:54+00:00,139,3,3,1.527834809,1.290817419,0.000000075,0.671834672,-0.503688188,85,-35,0.000008011,0.000002378,0.476375375,2,69.500000000,0.509278270,adds_with_profit_potential
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,8TwGaAgqQ9ovYfNwBGBLJbnYqRKmBEQiLNHRBSeTpump,profit,2026-04-29T03:31:00+00:00,2026-04-29T03:33:23+00:00,143,3,3,1.113884697,1.166400452,0.000000069,1.075759121,-0.575671990,0,0,0.000011708,0.000002393,0.338962234,2,71.500000000,0.371294899,adds_with_profit_potential
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,14hDBCzrLQJa7kLfmaJoahVNxMG8asYHrUga9jrdpump,loss,2026-04-29T03:35:23+00:00,2026-04-29T03:35:49+00:00,26,1,1,0.499624875,0.443048771,0.000000035,0.475795729,-0.074767053,-23,-23,0.000003840,0.000002407,0.000000000,0,,0.499624875,very_short_holding
