rank,name,rule_type,expression,matched,profit_count,loss_count,win_rate,lift_vs_baseline,avg_roi,avg_pnl_sol,median_holding_seconds,avg_max_runup,avg_max_drawdown,avg_exit_efficiency
1,pre_5m_return >= 0.50 AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.5000 AND entry_range_position >= 0.7500,10,9,1,0.900000000,0.400000000,0.364796800,0.208039811,95,0.468497308,-0.480610534,0.932040815
2,pre_5m_return >= 0.10 AND volume >= 1.50x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.1000 AND pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.7500,10,9,1,0.900000000,0.400000000,0.331099700,0.181597417,89,0.408654270,-0.485031737,0.934200597
3,pre_5m_return >= 0.25 AND volume >= 1.50x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.2500 AND pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.7500,10,9,1,0.900000000,0.400000000,0.331099700,0.181597417,89,0.408654270,-0.485031737,0.934200597
4,pre_5m_return >= 0.25 AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.2500 AND entry_range_position >= 0.7500,18,16,2,0.888888889,0.388888889,0.343266167,0.197710214,81,0.417050351,-0.391299948,0.920269221
5,pre_5m_return >= 0.25 AND range >= 0.85,entry_filter_combo,pre_5m_return >= 0.2500 AND entry_range_position >= 0.8500,16,14,2,0.875000000,0.375000000,0.273004687,0.161938654,81,0.366539820,-0.378274212,0.923232370
6,pre_5m_return >= 0.50 AND volume >= 1.50x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.5000 AND pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.7500,8,7,1,0.875000000,0.375000000,0.408233875,0.223076178,95,0.474078390,-0.550142777,0.935442997
7,pre_5m_return >= 1.00 AND range >= 0.75,entry_filter_combo,pre_5m_return >= 1.0000 AND entry_range_position >= 0.7500,8,7,1,0.875000000,0.375000000,0.406293375,0.222055097,89,0.501042536,-0.545578712,0.938156094
8,pre_5m_return >= 0.10 AND volume >= 2.00x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.1000 AND pre_5m_volume_spike >= 2.0000 AND entry_range_position >= 0.7500,8,7,1,0.875000000,0.375000000,0.335902625,0.176147171,89,0.473442940,-0.502636018,0.936619918
9,pre_5m_return >= 0.25 AND volume >= 2.00x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.2500 AND pre_5m_volume_spike >= 2.0000 AND entry_range_position >= 0.7500,8,7,1,0.875000000,0.375000000,0.335902625,0.176147171,89,0.473442940,-0.502636018,0.936619918
10,pre_5m_return >= 0.50 AND range >= 0.85,entry_filter_combo,pre_5m_return >= 0.5000 AND entry_range_position >= 0.8500,8,7,1,0.875000000,0.375000000,0.229656500,0.139079091,95,0.380337984,-0.476886707,0.940910011
11,volume >= 1.00x AND range >= 0.75,entry_filter_combo,pre_5m_volume_spike >= 1.0000 AND entry_range_position >= 0.7500,14,12,2,0.857142857,0.357142857,0.254350286,0.138669575,76,0.319365063,-0.411624136,0.913977251
12,pre_5m_return >= 0.10 AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.1000 AND entry_range_position >= 0.7500,19,16,3,0.842105263,0.342105263,0.324541632,0.186975589,76,0.395100333,-0.376682788,0.921431725
13,pre_5m_return >= 0.50 AND volume >= 1.00x,entry_filter_combo,pre_5m_return >= 0.5000 AND pre_5m_volume_spike >= 1.0000,12,10,2,0.833333333,0.333333333,0.289165250,0.159636243,89,0.506979334,-0.522381033,0.885025727
14,volume >= 1.50x AND range >= 0.75,entry_filter_combo,pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.7500,12,10,2,0.833333333,0.333333333,0.275626667,0.151223502,76,0.342041690,-0.445254971,0.908700499
15,pre_5m_return >= 0.00 AND volume >= 1.50x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.7500,12,10,2,0.833333333,0.333333333,0.275626667,0.151223502,76,0.342041690,-0.445254971,0.908700499
16,pre_5m_return >= 0.10 AND range >= 0.85,entry_filter_combo,pre_5m_return >= 0.1000 AND entry_range_position >= 0.8500,17,14,3,0.823529412,0.323529412,0.256210294,0.152045342,76,0.344978654,-0.362703605,0.924357337
17,pre_5m_return >= 0.50 AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.5000 AND entry_range_position >= 0.6500,11,9,2,0.818181818,0.318181818,0.328001455,0.187313800,89,0.462591453,-0.483215888,0.912081445
18,pre_5m_return >= 0.50 AND volume >= 1.50x,entry_filter_combo,pre_5m_return >= 0.5000 AND pre_5m_volume_spike >= 1.5000,11,9,2,0.818181818,0.318181818,0.299770273,0.166307259,89,0.522533608,-0.543021462,0.881747364
19,volume >= 1.00x AND range >= 0.85,entry_filter_combo,pre_5m_volume_spike >= 1.0000 AND entry_range_position >= 0.8500,11,9,2,0.818181818,0.318181818,0.158287727,0.088059528,76,0.255534917,-0.395065155,0.948150060
20,pre_5m_return >= 0.25 AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.2500 AND entry_range_position >= 0.6500,20,16,4,0.800000000,0.300000000,0.299185300,0.165091007,81,0.429113695,-0.402817834,0.908021034
21,pre_5m_return >= 1.00,entry_filter,pre_5m_return >= 1.0000,10,8,2,0.800000000,0.300000000,0.325754100,0.180901021,89,0.548763232,-0.544957111,0.886278352
22,pre_5m_return >= 1.00 AND volume >= 1.00x,entry_filter_combo,pre_5m_return >= 1.0000 AND pre_5m_volume_spike >= 1.0000,10,8,2,0.800000000,0.300000000,0.325754100,0.180901021,89,0.548763232,-0.544957111,0.886278352
