mint,sample_group,bot_action,skip_reason,entry_layer,live_enabled,size_multiplier,wallet_roi,wallet_hold_seconds,bot_roi,raw_exit_roi,bot_hold_seconds,bot_max_roi,bot_max_drawdown_from_peak,bot_no_new_high_seconds_at_exit,exit_reason,exit_phase,tp1_done,tp1_roi,first_buy_time,bot_entry_time,bot_exit_time,bot_entry_price,bot_exit_price,pre_5m_return,entry_range_position,distance_to_20m_high,pre_5m_volume_spike,entry_label,moved_after_wallet_buy,kline_file
G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump,profit,TRADE,,A_momentum_high_range,true,1,1.357027,358,0.2927961270372623,0.2927961270372623,60,0.2927961270372623,-0.29579773147502997,0,normal_trailing_stop,NORMAL,false,,2026-04-29T01:38:51+00:00,2026-04-29T01:39:00.000Z,2026-04-29T01:40:00.000Z,0.000015825404,0.000020459021,1.222319521,0.817713052,-0.154781404,17.621515976,breakout_volume_entry,,G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump_1m_1777425531_1777428289.json
9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump,profit,TRADE,,E_green_continuation,false,0.3,0.126237,14,-0.1,-0.1,60,0.3027179007302945,-0.39326963822783967,0,hard_stop,OBSERVE,false,,2026-04-29T01:43:13+00:00,2026-04-29T01:43:00.000Z,2026-04-29T01:44:00.000Z,0.0000050489482,0.00000454405338,0.478947614,0.449730411,-0.394918981,0.418630554,unclear_entry,,9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump_1m_1777425793_1777428207.json
AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump,profit,SKIP,no_entry_layer,,false,,0.009023,33,,,,,,,,,,,2026-04-29T01:44:28+00:00,,,,,0.071527059,0.766908453,-0.114636734,1.584418243,high_range_entry,,AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump_1m_1777425868_1777428301.json
5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump,profit,TRADE,,C_high_range_fallback,false,0.6,0.329229,77,-0.1,-0.1,60,0.7445621905593691,-0.5407136173240212,0,hard_stop,OBSERVE,false,,2026-04-29T01:47:17+00:00,2026-04-29T01:47:00.000Z,2026-04-29T01:48:00.000Z,0.0000094096806,0.000008468712540000001,,0.877198732,-0.085550695,,high_range_entry,,5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump_1m_1777426037_1777428514.json
2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump,profit,TRADE,,D_breakout_volume,false,0.6,0.037195,21,-0.1,-0.1,60,0.001231537829400331,-0.11540493873559898,0,hard_stop,OBSERVE,false,,2026-04-29T01:48:02+00:00,2026-04-29T01:48:00.000Z,2026-04-29T01:49:00.000Z,0.0000026957353,0.00000242616177,-0.530948845,0.049319584,-0.712851008,3.570940107,breakout_volume_entry,,2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump_1m_1777426082_1777428503.json
HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump,profit,TRADE,,F_short_rebound_scout,false,0.2,0.140522,47,0.010702136048080346,0.010702136048080346,60,0.010702136048080346,-0.01058881312938198,0,failed_no_push_1m_approx,OBSERVE,false,,2026-04-29T01:51:00+00:00,2026-04-29T01:51:00.000Z,2026-04-29T01:52:00.000Z,0.0000028955528,0.0000029265414,0.043276466,0.470528613,-0.173352087,0.606950755,unclear_entry,,HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump_1m_1777426260_1777428707.json
6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump,profit,TRADE,,B_extreme_near_high,true,0.8,0.041556,221,-0.005748425984879124,-0.005748425984879124,60,0,-0.005748425984879124,60,failed_no_push_1m_approx,OBSERVE,false,,2026-04-29T01:52:44+00:00,2026-04-29T01:53:00.000Z,2026-04-29T01:54:00.000Z,0.000014686803,0.000014602377,,1,0,,high_range_entry,,6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump_1m_1777426364_1777428985.json
HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump,profit,TRADE,,D_breakout_volume,false,0.6,0.024408,57,-0.1,-0.1,60,0,-0.5713416942071137,60,hard_stop,OBSERVE,false,,2026-04-29T02:21:44+00:00,2026-04-29T02:22:00.000Z,2026-04-29T02:23:00.000Z,0.0000083743799,0.0000075369419099999996,0.949897222,0.591562624,-0.300794102,24.358863808,breakout_volume_entry,,HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump_1m_1777428104_1777430561.json
9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump,profit,TRADE,,F_short_rebound_scout,false,0.2,0.020094,48,-0.018363271023473793,-0.018363271023473793,180,0,-0.018363271023473793,180,failed_no_push_1m_approx,OBSERVE,false,,2026-04-29T02:25:55+00:00,2026-04-29T02:26:00.000Z,2026-04-29T02:29:00.000Z,0.0000028096356,0.0000027580415,0.121719006,0.31031397,-0.227342187,0.4920114,unclear_entry,,9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump_1m_1777428355_1777430803.json
9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump,profit,TRADE,,D_breakout_volume,false,0.6,0.043211,29,-0.1,-0.1,60,0.0993067321532306,-0.6518471906970926,0,hard_stop,OBSERVE,false,,2026-04-29T02:39:01+00:00,2026-04-29T02:39:00.000Z,2026-04-29T02:40:00.000Z,0.0000098909246,0.00000890183214,-0.157549883,0.715116838,-0.227409435,3.199058436,breakout_volume_entry,,9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump_1m_1777429141_1777431570.json
