wallet,mint,sample_group,first_buy_tx,first_buy_time,last_sell_time,realized_pnl_sol,realized_roi,holding_seconds,kline_file,exclude_reason
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump,profit,3iyR7uNxPKmCBbozf8kjXroQiZAq7FYNp4MJoaahrdgsJ2sjMBBtb62e4kjE5wLapnBfddJ3VGTkweC93K5cujHj,2026-04-29T01:38:51+00:00,2026-04-29T01:44:49+00:00,0.678311137,1.357027,358,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump_1m_1777425531_1777428289.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump,profit,2thTKZ4okJWDTxDUfZeMrUyxLcsbdNRp6GytFoCRwkxGBy31Rtz2K8vgbiLLXqQu4ADinKgju39QP3cga6b2mX4q,2026-04-29T01:43:13+00:00,2026-04-29T01:43:27+00:00,0.063118425,0.126237,14,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump_1m_1777425793_1777428207.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump,profit,67TgxEcuG4SRRLvz1t8AyafWB38qx1oiAaFZzJtcMxfZTjodVwA5y6QDLruCb9TT8gP9hx8bVsbJrhinUNLs83Nn,2026-04-29T01:44:28+00:00,2026-04-29T01:45:01+00:00,0.004953845,0.009023,33,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump_1m_1777425868_1777428301.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump,profit,48wnAnec773KW5iYbjg9pKDZjVC9rmpThexJ1d6woAoGACnBc3iJjJzZCAo8neTwHyEHdqhg4dqkhd1VN8LUaHWx,2026-04-29T01:47:17+00:00,2026-04-29T01:48:34+00:00,0.176023116,0.329229,77,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump_1m_1777426037_1777428514.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump,profit,3aSdDWKBQNYTw47hbdSK8zwgqqsNJyt8HL9TcUvbsibrQYJTAwcVP56vCvGMk7EiD7ZD9t8Qnt358jyydddnqtJk,2026-04-29T01:48:02+00:00,2026-04-29T01:48:23+00:00,0.019889508,0.037195,21,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump_1m_1777426082_1777428503.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump,profit,4ixFhuHB9gC36oS8Fa6Q7G6LMNEt9qW3i76NcwKWVgLXhzB1xbxCwVjdzrXkfe1gAFaiT4PA7YUwW2oEzVFWwGeE,2026-04-29T01:51:00+00:00,2026-04-29T01:51:47+00:00,0.070260853,0.140522,47,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump_1m_1777426260_1777428707.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump,profit,2jY6XYVK8ak8EeCU97s8242xnev5kvDjYeoFeVdQdXbNx3RUMJfwqRkn4Kq49NE3DQd3xq2mBzDX3WatynDLMk4z,2026-04-29T01:52:44+00:00,2026-04-29T01:56:25+00:00,0.042969803,0.041556,221,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump_1m_1777426364_1777428985.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump,profit,fGKRciGfcxWUiSRMWRqGSqbbYmMKP8FKAyw17uZrGyS2oTTv6xdiy4zqpQkF1G8rb4xYvTGn6ihNrQjw96g71jB,2026-04-29T02:21:44+00:00,2026-04-29T02:22:41+00:00,0.012200982,0.024408,57,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump_1m_1777428104_1777430561.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump,profit,4xq8hENmjWTu9CCJc6X2crJRhzhzWDaNSBr97QB1vZ9guNbRYWfU87CmRwSrmLoK6c79BFqEpRgtCEJS95ovRFKg,2026-04-29T02:25:55+00:00,2026-04-29T02:26:43+00:00,0.010664886,0.020094,48,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump_1m_1777428355_1777430803.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump,profit,3HEe8eWK6vZEZEQGxKSB8XnBNisNzVRpMVwmSHG4Avgj1iwqs5wewHuG3i3dCQt5MeEEGbgdDNzsEEAyGDMWYobr,2026-04-29T02:39:01+00:00,2026-04-29T02:39:30+00:00,0.019945963,0.043211,29,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump_1m_1777429141_1777431570.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3pbggCjSuDLSB4iQ4v1Uc6HjbMT1hGqBd8AMKNxUpump,profit,2FeydTc3HEzsJuRzk4duavA2nNknUXWi4B4kLNGJJCMn1MAXtFaB4zYLUeWMaJbUGX27Xgj1ztAkYrwH4FEGpsMD,2026-04-29T02:45:12+00:00,2026-04-29T02:46:23+00:00,0.969017774,1.673030,71,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/3pbggCjSuDLSB4iQ4v1Uc6HjbMT1hGqBd8AMKNxUpump_1m_1777429512_1777431983.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,BDDumgWwRv5zynmmjxKALavMAHgPh6UocJRQs6Hmpump,profit,gnDxPc8Er4dzh6kgRqcYrzYZE5pPk6CXvgUcNEFryGN7XHVyeoRog883Rty4YNzFFwEBu2LgBY9VqNSsbsC3z2A,2026-04-29T03:01:55+00:00,2026-04-29T03:03:56+00:00,1.105070030,1.807767,121,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/BDDumgWwRv5zynmmjxKALavMAHgPh6UocJRQs6Hmpump_1m_1777430515_1777433036.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,H6SBg5q554YUFBwh3LqZJgfMxX4eofPdh9RXHFpBpump,profit,3PJFXu8MFGDX7X2YdgwaicvjNWiAm4YV4bhQ5vYU1vXrX9GyeWFmCLTpXpBjNkB8EUZCE5f9aGpNciJKe3d6UEmx,2026-04-29T03:03:25+00:00,2026-04-29T03:04:34+00:00,0.305137303,0.504028,69,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/H6SBg5q554YUFBwh3LqZJgfMxX4eofPdh9RXHFpBpump_1m_1777430605_1777433074.json,
